type	pre-condition	post-condition	confidence	SDC
Pattern	"97 % of values match pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	"values not matching pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	0.985102968592883	(('pattern', 1, '2020-11-04t02:48:30z', '^[\\+\\-\\d\\.,]+[a-zA-Z]+[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+[a-zA-Z]+$', 0.97), ('pattern', 0), 2.9638876206036993, 0.014897031407116982, (9, 1134, 297256, 0))
CTA	"80 % column values have their Doduo ""day""-classifier scores >= 4"	"values whose Doduo ""day""-classifier scores <= -2"""	0.9851009301834925	(('doduo', 'day', 0.8, 4), ('doduo', -2), 0.9492365615947552, 0.014899069816507498, (0, 254, 62267, 235878))
Embedding	"80 % column values have their Glove embedding distance to ""scott"" < 4.0"	"values whose Glove embedding distance to ""scott"" > 7.0"	0.9851009301834925	(('embed', 1, 'scott', 0.8, 4.0), ('embed', 7.0), 2.3538570696790533, 0.014899069816507498, (0, 254, 254236, 43909))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""nsw"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""nsw"" > 1.35"	0.9850511924870845	(('sbert', 1, 'nsw', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.148791812867594, 0.014948807512915495, (24, 2358, 115577, 180440))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""indiana"" < 1.1"	"values whose Sentence-BERT embedding distance to ""indiana"" > 1.35"	0.9849319558776335	(('sbert', 1, 'indiana', 0.8, 1.1), ('sbert', 1.35), 1.7843046216235674, 0.015068044122366474, (1, 371, 195499, 102528))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""gold"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""gold"" > 1.35"	0.9847640209331977	(('sbert', 1, 'gold', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.5737187574052827, 0.015235979066802328, (45, 3898, 178925, 115531))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""argentina"" < 1.1"	"values whose Sentence-BERT embedding distance to ""argentina"" > 1.35"	0.9847392062864654	(('sbert', 1, 'argentina', 0.8, 1.1), ('sbert', 1.35), 1.4827050981361283, 0.015260793713534615, (6, 847, 160639, 136907))
Pattern	"85 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9843517612263244	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.85), ('pattern', 0), 2.9138441407597213, 0.015648238773675598, (102, 7798, 290499, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.1"	"values whose Sentence-BERT embedding distance to ""france"" > 1.35"	0.9842091452231263	(('sbert', 1, 'france', 0.8, 1.1), ('sbert', 1.35), 1.332741737407628, 0.015790854776873697, (9, 1069, 140480, 156841))
Pattern	"90 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9840353795982834	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.9), ('pattern', 0), 2.9162636199589493, 0.015964620401716617, (69, 5390, 292940, 0))
